评论内容,分词结果
哭死我了我从一开始就在哭,哭 死 我 了 我 从 一 开始 就 在 哭
最爱的电影之一 其中的宽广与极致 幽微与心灵深处的悸动 梦与现实的交融这是救赎的故事 是痛苦的灵药,最爱 的 电影 之一 其中 的 宽广 与 极致 幽微 与 心灵深处 的 悸动 梦 与 现实 的 交融 这是 救赎 的 故事 是 痛苦 的 灵药
都过去几年了看了你的解说才明白这个故事,都 过去 几年 了 看 了 你 的 解说 才 明白 这个 故事
太隐晦了可惜,太 隐晦 了 可惜
这电影不比什么哪吒2制作精良立意深刻真搞不懂一个这么好的动画却关注度少,这 电影 不比 什么 哪吒 2 制作 精良 立意 深刻 真 搞不懂 一个 这么 好 的 动画 却 关注度 少
深海是一块璞玉我从未看到第二部这样独特的国漫电影它对我心灵造成的震撼是独一无二的但非常可惜的是电影前半部分节奏确实是没处理好一直在埋伏笔但故事很碎第一遍在电影院看的时候我怀疑甚至怀疑自己买错票了它的瑕疵在一个非常影响商业成绩的点上有些人看到一半觉得没意思就不看了再加上当年的流浪地球2和满江红确实没有给深海留下太多发挥空间只能说可惜非常可惜,深海 是 一块 璞玉 我 从未 看到 第二部 这样 独特 的 国漫 电影 它 对 我 心灵 造成 的 震撼 是 独一无二 的 但 非常 可惜 的 是 电影 前半部 分 节奏 确实 是 没 处理 好 一直 在 埋伏 笔 但 故事 很碎 第一遍 在 电影院 看 的 时候 我 怀疑 甚至 怀疑 自己 买 错票 了 它 的 瑕疵 在 一个 非常 影响 商业 成绩 的 点 上 有些 人 看到 一半 觉得 没意思 就 不 看 了 再 加上 当年 的 流浪 地球 2 和 满江红 确实 没有 给 深海 留下 太 多 发挥 空间 只能 说 可惜 非常 可惜
那些反复改编的神话电影才是真俗套吧像哪吒杨戬真的没新意,那些 反复 改编 的 神话 电影 才 是 真 俗套 吧 像 哪吒 杨戬 真的 没 新意
还有白蛇不过这些我都看了也只能说可以但是没有深海给我的感触大,还有 白蛇 不过 这些 我 都 看 了 也 只能 说 可以 但是 没有 深海 给 我 的 感触 大
这部真的很可惜画面是完全的梦幻非常震撼后面的剧情其实我也觉得挺好的最后半个小时一直在哭可惜可惜生不逢时,这部 真的 很 可惜 画面 是 完全 的 梦幻 非常 震撼 后面 的 剧情 其实 我 也 觉得 挺 好 的 最后 半个 小时 一直 在 哭 可惜 可惜 生不逢时
今天看了如果可以重新上映一定要去影院看一次,今天 看 了 如果 可以 重新 上映 一定 要 去 影院 看 一次
我非常喜欢这部电影但深海这种气氛的电影就不应该放在春节档春节档大家更喜欢的是家庭成员一起看的合家欢的电影这部能拿八亿票房已经很厉害了,我 非常 喜欢 这部 电影 但 深海 这种 气氛 的 电影 就 不 应该 放在 春节 档 春节 档 大家 更 喜欢 的 是 家庭成员 一起 看 的 合家欢 的 电影 这部 能 拿 八亿 票房 已经 很 厉害 了
看到改编游戏的消息过来回味一下 有没有一样的,看到 改编 游戏 的 消息 过来 回味 一下 有没有 一样 的
我也是,我 也 是
深海让不抑郁的人看完抑郁让抑郁的人看完更抑郁,深海 让 不 抑郁 的 人 看 完 抑郁 让 抑郁 的 人 看 完 更 抑郁
深海恨自己没在电影院睡觉-哔哩哔哩 我去了兄弟们我没想到居然会有这么逆天的视频多去点点举报具体内容你们自己看吧再多的语言也无法形容了,深海 恨 自己 没 在 电影院 睡觉 - 哔哩 哔哩 我 去 了 兄弟 们 我 没想到 居然 会 有 这么 逆天 的 视频 多去 点点 举报 具体内容 你们 自己 看吧 再 多 的 语言 也 无法形容 了
我看过后劲儿最大的电影第一次在飞机上没有看懂但之后的每一次甚至看到配音小女孩的配音段落我都会泪水落下几年后的今天依然如此听了up主这一版的讲解我真的希望深海可以再上大荧幕我要走进影院在最后为导演为创作团队为南河和参宿鼓掌,我 看过 后 劲儿 最大 的 电影 第一次 在 飞机 上 没有 看 懂 但 之后 的 每 一次 甚至 看到 配音 小女孩 的 配音 段落 我 都 会 泪水 落下 几年 后 的 今天 依然 如此 听 了 up 主 这 一版 的 讲解 我 真的 希望 深海 可以 再 上 大 荧幕 我要 走进 影院 在 最后 为 导演 为 创作 团队 为 南河 和 参宿 鼓掌
刚在家看的真好看啊,刚 在家 看 的 真 好看 啊
希望很少更多的是心理疾病不可挽会的悲伤,希望 很少 更 多 的 是 心理疾病 不可 挽会 的 悲伤
我当时和我的发小堂弟一共4个人一起看的当时从影院里出来我心情复杂且压抑想问问其他三人观影感受是却得到了无聊不好看等评价也瞬间失去了沟通的欲望,我 当时 和 我 的 发 小堂弟 一共 4 个人 一起 看 的 当时 从 影院 里 出来 我 心情 复杂 且 压抑 想 问问 其他 三人 观影 感受 是 却 得到 了 无聊 不 好看 等 评价 也 瞬间 失去 了 沟通 的 欲望
谁说我们家宝贝长得不好看有审美吗,谁 说 我们 家 宝贝 长得 不 好看 有 审美 吗
作为一个单纯的观影人这部电影真的很好但我一直不敢看第二遍抛开别的不说单是在情感方面就让我狠狠共情最后南河和参宿告别的时候我哭的稀里哗啦很难接受南河和参宿最后没能活下来的残酷真相南河这么好一个人参宿明明已经走出来了结果还是没办法一起走向明天,作为 一个 单纯 的 观影 人 这部 电影 真的 很 好 但 我 一直 不敢 看 第二遍 抛开 别的 不说 单是 在 情感 方面 就让 我 狠狠 共情 最后 南河 和 参宿 告别 的 时候 我 哭 的 稀里哗啦 很难 接受 南河 和 参宿 最后 没能活 下来 的 残酷 真相 南河 这么 好 一个 人参 宿 明明 已经 走 出来 了 结果 还是 没 办法 一起 走向 明天
我上初二的时候看的根据电影里面的各种细节猜对了结局比如开头的梦幻曲表明一切只是参宿的梦参宿跳海后遇到南河说明南河救了参宿南河说自己回不了家表明他已死亡而且自己完全没有类似经历所以看到结局的时候并没有非常难过不过现在回忆起来确实会感到难受尤其是参宿她爹不承认她抑郁症那一段,我 上 初二 的 时候 看 的 根据 电影 里面 的 各种 细节 猜 对 了 结局 比如 开头 的 梦幻 曲 表明 一切 只是 参宿 的 梦 参宿 跳海 后 遇到 南河 说明 南河 救 了 参宿 南河 说 自己 回 不了 家 表明 他 已 死亡 而且 自己 完全 没有 类似 经历 所以 看到 结局 的 时候 并 没有 非常 难过 不过 现在 回忆 起来 确实 会 感到 难受 尤其 是 参宿 她 爹 不 承认 她 抑郁症 那 一段
不一定是看得懂就是抑郁症吧共情能力强的人也会有感触但是可能很快就会抽离,不 一定 是 看得懂 就是 抑郁症 吧 共情 能力 强 的 人 也 会 有 感触 但是 可能 很快 就会 抽离
大学和两个同学一起看的他们两个看完了之后说完全不好看要睡着了但我觉得真的很好看关于一个女孩的内心冒险故事很完整画面很漂亮我很欣赏的,大学 和 两个 同学 一起 看 的 他们 两个 看 完 了 之后 说 完全 不 好看 要 睡着 了 但 我 觉得 真的 很 好看 关于 一个 女孩 的 内心 冒险 故事 很 完整 画面 很漂亮 我 很 欣赏 的
可惜了票房太少了这么搞厨子不给做饭了可不就再也不会有这种电影了吗当时虽然没被故事感动哭却被画面直接美到眼泪流下来我看的还是3D粒子都往脸上飞啊哇,可惜 了 票房 太少 了 这么 搞 厨子 不 给 做饭 了 可不 就 再也不会 有 这种 电影 了 吗 当时 虽然 没 被 故事 感动 哭 却 被 画面 直接 美到 眼泪 流下来 我 看 的 还是 3D 粒子 都 往 脸上 飞 啊 哇
真是再来回味一下深海比某部动画电影好多了,真是 再 来 回味 一下 深海 比 某部 动画电影 好多 了
前几天N刷了这电影属于是国内动画类电影我最喜欢的第二是隔壁的熊出没IP这部电影里首次让我看到了不同于其他动画电影的地方没有过度强调低龄化也没有为了取舍观众群体做比较大众化的画风反而是采用了乍一看很抽象的画风这种感觉不同于日漫更不同于国内任何动画类作品我愿称之深海为艺术品非要打个分我可以打98分那两分扣在剧情太刀了南河有没有可能可以不写死的,前 几天 N 刷 了 这 电影 属于 是 国内 动画 类 电影 我 最 喜欢 的 第二 是 隔壁 的 熊出没 IP 这部 电影 里 首次 让 我 看到 了 不同于 其他 动画电影 的 地方 没有 过度 强调 低龄化 也 没有 为了 取舍 观众 群体 做 比较 大众化 的 画风 反而 是 采用 了 乍一看 很 抽象 的 画风 这种 感觉 不同于 日漫 更 不同于 国内 任何 动画 类 作品 我愿 称 之 深海 为 艺术品 非要 打个 分 我可以 打 98 分 那 两分 扣 在 剧情 太刀 了 南河 有没有 可能 可以 不写 死 的
我觉得他必须牺牲他死的是如此的合理而又恰当用生命将另一个生命推向光明 虽然我也是很希望他能活下来只能寄希望于他和尼摩船长一样隐去姓名仍然在某个地方买他的绘本故事吧,我 觉得 他 必须 牺牲 他 死 的 是 如此 的 合理 而 又 恰当 用 生命 将 另 一个 生命 推向 光明 虽然 我 也 是 很 希望 他 能活 下来 只能 寄希望于 他 和 尼摩 船长 一样 隐 去 姓名 仍然 在 某个 地方 买 他 的 绘本 故事 吧
能讲完这个故事就很棒了不像某些托托拉拉千遍一律使劲情怀捞钱,能 讲完 这个 故事 就 很棒 了 不 像 某些 托托 拉拉 千遍 一律 使劲 情怀 捞钱
当年看完哭了一天,当年 看 完 哭 了 一天
最后悔的就是这个电影上映的时候没去看直到多年后在B站发现这部神作,最 后悔 的 就是 这个 电影 上映 的 时候 没去 看 直到 多年 后 在 B 站 发现 这部 神作
制作是顶级的这个我没话说但是整体电影看下来就是一个字脏整部电影给我的感觉就是想用3d的风格去模仿宫崎骏的感觉但是太跳了牛头不对马嘴最后强行给你发把刀告诉你这都是想象和国产恐怖片的结尾如出一辙完全就是的个四不像然后观众看完以后刷到剪辑呜呜呜刀死我了闹麻了,制作 是 顶级 的 这个 我 没话说 但是 整体 电影 看 下来 就是 一个 字脏 整部 电影 给 我 的 感觉 就是 想用 3d 的 风格 去 模仿 宫崎骏 的 感觉 但是 太 跳 了 牛头不对马嘴 最后 强行 给 你 发 把 刀 告诉 你 这 都 是 想象 和 国产 恐怖片 的 结尾 如出一辙 完全 就是 的 个 四不像 然后 观众 看 完 以后 刷到 剪辑 呜呜 呜刀 死 我 了 闹 麻 了
没有强行发刀吧前面的剧情感觉一直有铺垫诶跳跃的冒险梦幻的场景都是梦境的表现啊,没有 强行 发刀 吧 前面 的 剧情 感觉 一直 有 铺垫 诶 跳跃 的 冒险 梦幻 的 场景 都 是 梦境 的 表现 啊
哪里模仿宫崎骏了,哪里 模仿 宫崎骏 了
中国不可能再出现深海这种作品了市场会教育每一个梦我既担心田导被毒打后放弃本来的坚持又担心田导一直坚持初心最后破产梦碎做不了动画真是矛盾深海是一个结局再无深海,中国 不 可能 再 出现 深海 这种 作品 了 市场 会 教育 每 一个 梦 我 既 担心 田导 被 毒打 后 放弃 本来 的 坚持 又 担心 田导 一直 坚持 初心 最后 破产 梦碎 做不了 动画 真是 矛盾 深海 是 一个 结局 再 无 深海
不是顶级的制作就会有人买单的制作是顶级的这个我没话说但是整体电影看下来就是一个字脏让大部分观众都感觉到不适就说明这根本不是一部大众化的电影票房就不可能好整部电影给我的感觉就是想用3d的风格去模仿宫崎骏的感觉但是太跳了牛头不对马嘴最后强行给你发把刀告诉你这都是想象和国产恐怖片的结尾如出一辙完全就是的个四不像然后观众看完以后刷到剪辑呜呜呜刀死我了闹麻了,不是 顶级 的 制作 就 会 有人 买单 的 制作 是 顶级 的 这个 我 没话说 但是 整体 电影 看 下来 就是 一个 字脏 让 大部分 观众 都 感觉 到 不适 就 说明 这 根本 不是 一部 大众化 的 电影票房 就 不 可能 好 整部 电影 给 我 的 感觉 就是 想用 3d 的 风格 去 模仿 宫崎骏 的 感觉 但是 太 跳 了 牛头不对马嘴 最后 强行 给 你 发 把 刀 告诉 你 这 都 是 想象 和 国产 恐怖片 的 结尾 如出一辙 完全 就是 的 个 四不像 然后 观众 看 完 以后 刷到 剪辑 呜呜 呜刀 死 我 了 闹 麻 了
回复 :我觉得表达脉络还是相当严谨的不过观看需要一定门槛可能是因为你自己是通过看剪辑才能看懂或者看着觉得乱所以想当然觉得电影是随便制作的四不像观众也都是看解说剪辑原地自嗨而宫崎骏和皮克斯是同一种思路最完美的市场化叙述深海和这种思路八竿子打不着不过的确电影不是大众化表达所以我也说了田导继续这样做肯定要破产的人民群众审美的终点是哪吒数据不会说谎哪吒就是人民群众审美的具象化,回复 : 我 觉得 表达 脉络 还是 相当 严谨 的 不过 观看 需要 一定 门槛 可能 是因为 你 自己 是 通过 看 剪辑 才 能看懂 或者 看着 觉得 乱 所以 想当然 觉得 电影 是 随便 制作 的 四不像 观众 也 都 是 看 解说 剪辑 原地 自 嗨 而 宫崎骏 和 皮克斯 是 同 一种 思路 最 完美 的 市场化 叙述 深海 和 这种 思路 八竿子打不着 不过 的确 电影 不是 大众化 表达 所以 我 也 说 了 田导 继续 这样 做 肯定 要 破产 的 人民 群众 审美 的 终点 是 哪吒 数据 不会 说谎 哪吒 就是 人民 群众 审美 的 具象化
回复 :审美是哪吒都算好的了就怕审美是满江红,回复 : 审美 是 哪吒 都 算 好 的 了 就 怕 审美 是 满江红
翻到了这本书真好,翻到 了 这 本书 真 好
