评论ID,分词结果
295382707808,事已至此 先 睡觉 吧
293612501200,眼泪
290848875121,章鱼 是 软体动物 但 梦想 让 他 有 了 脊柱
290091611745,弹幕 呢 这个 视频 的 弹幕 呢
290060784929,音无结 弦 之 时悦动 天使 之心 立于 浮华 之世响 奏 天籁 之音
292273225632,小时候 我们 以为 我们 都 是 海绵 宝宝 长大 了 才 发现 我们 是 章鱼 哥 也许 老后 我们 能 成为 派大星 但 作者 希望 我们 变成 海绵 宝宝
289884147793,我 的 生日 发 的 耶
291084756608,考古 初看 还是 高中生 再 看 大学 已 毕业
288715244833,泪目 了
290780321472,光 之 卡卡 罗特兽 空条 承太郎 之死
288579558897,但是 听到 这 首歌 有点 想 哭 啊
288316695377,破 千万 了
288100119505,这个 点 了 还有 人 跟 我 一起 看
287368645073,小时候 看 是 开心 长大 了 看 致郁 动画片 动漫 都 不香 了
287368619633,果然 任何 事情 与 钱 养家糊口 与 现实 粘 上 关系 注定 是 郁闷 的
288675640928,不管 今天 是 什么样 我 相信 明天 总会 好 的
286470925233,这 已经 20 年 的 了 还 像是 上个月 看 的 视频 这 就是 章鱼 哥 的 生活
288301563456,有 的 人生 来 就是 主角
288198335392,其实 全剧 里 只有 章鱼 哥 一个 正常人
288153123872,每次 看 这个 就 同情 章鱼 哥 小时候 我 看着 就 觉得 海绵 和 派 大星 好烦 然后 当时 我 和 朋友 说 了 他 说 我 就是 矫情 小气鬼 事多 然后 我 就 直接 拿 动画片 里 章鱼 哥 与 海绵 派大星 的 片段 问 他 换成 你 你 会 怎么 做 他 陷入 了 思考 然后 说 再 怎么着 他 才 是 主角 你 看 动画 名字 都 是 叫 海绵 宝宝
286053849025,泪目
288112312064,花 无 凋零 之时 爱 无 传达 之期 爱情 亘古 不变 紫罗兰 永世 长
288051371024,这 不 就是 我们 自己 吗
285936654337,始于 盛夏 终于 寒冬 花 将 凋落 雨 欲 停息 庭中 人难 有 重逢 之 日
285656534625,章鱼 本 没有 脊椎 梦想 是 支撑 他 的 脊梁
287638724240,没想到 再刷 到 已 是 六年 后 了 17 岁 已经 过去 六年 了 吗
288137489184,17 岁 的 雨夜
285355833057,嗯 一年 一个 感觉
287329376816,我们 甚至 连 章鱼 哥 都 不如 甚至 他 还有 喜爱 的 东西 不像 我 连 自己 喜欢 的 什么 都 不 知道
285257671201,上学 的 时候 看 感触 不深 现在 工作 了 再 看 终于 理解 了 或许 成家 之后 再 看 又 不 一样
284855973873,如果 没有 别人 爱 你 就 先 学会 自己 爱 自己
286683158448,小时候 以为 自己 派大星 永远快乐 无忧无虑 求学 的 时候 以为 自己 是 海绵 宝宝 处理 事情 游刃有余 身边 永远 有 一群 朋友 长大 后 参加 工作 后 发现自己 只是 章鱼 哥 处理 不 完 的 工作 受 不 完 的 气 永远 无法 实现 的 梦想 低三下四 的 伺候 上司
284528345601,明天 在 哪 呀 小章鱼
283298132625,没事 同志 们 我们 继续 阶级斗争 终 有 一天 共产主义 终将 实现
284899821696,长大 以后 我 才 发现 我 也 是 章鱼 哥
283774010896,人们 常在 羡慕 小时候 的 自己 阳光 快乐 无忧无虑 自责 着 自己 的 无能 可 他们 好像 忘 了 完美 不是 他们 的 代名词 自己 才 是
283514984944,魂归 幽都府 谈 人间 皆 有 怨 说 地府 都 恐去 羡 天堂 最值 留 议 地狱 惧下 也 - 叹 人生 必 逝去 在 凡间 仅 百载 这 人间 留 不久 过 十载 骨成 灰 - 望 红尘 早已 破 谈 情爱 淡如烟 知 生死 已 注定 世人 忙 为 银两 活 百载 何太忙 - 这 地府 必得 去 这 天堂 早 无缘 望 地狱 已 空荡 下 地府 又 何惧 - 阎王殿 身 坦荡 望 奈何 百万 魂 皆 饮汤 入 轮回 于 地府 忆 前世 - 千年 事皆忆 来 叹 人生 循环 已 厌 前缘 倦 轮回 断 因果 无来生 - 孟婆汤 挥手 诀 断 轮回 熄 因缘 这 地府 即吾乡 那 人间 不值 回 唉
281540671633,自己 将 快乐 分享 给 别人 谁 来 给 自己 快乐
281535276209,我 不 知道 你们 在 笑 什么
283398040672,法老 歌曲 是 借鉴 的 这里 吧
280992097105,2025.11 . 18 2230 我 还 在 看
283283643904,+ 1
282773154000,现在 还有 人 听 我 吃 室友 的
283235690416,小 馋猫
283315959680,小 馋猫 想 吃 直说
280708864721,明天 一定 会 更好 更 美丽 的
282115352592,有 谁 知道 中间 章鱼 哥用 竖笛 唱 的 那首歌 是 什么 吗 搜 了 好多 一直 没 找到
280104399169,章鱼 哥 内心 有 多么 强大 即使 我们 知道 也 不 可能 真 懂
281807777744,玩小破 站 四年 了 这 是 我 打开 的 第一个 视频 四年 了 这 还是 我 最 喜欢 的 视频 之一 今天 又 一次 刷 到 了 有感而发
281609023856,原来 第一次 看到 的 时候 我 的 梦想 就 一起 被 埋 在 里面 了
281468362992,唯一 个 2025 的 评论
281342335360,当时 还是 初中
279266395329,剪过 视频 的 小白 真的 知道 这个 视频 剪 出来 有 多难 好 厉害
278690815233,章鱼 哥死 后 的 第二天 成 了 名人
278620938177,这里 埋葬 的 是 章鱼 哥 的 梦想 但是 过 了 风吹日晒 它会 破土 花 开
278582113681,当时 只道 是 寻常
278497243585,还有 入 在 吗
279730580160,失败 又 怎样 痛苦 又 怎样 没有 梦想 跟 咸鱼 有 什么 区别 可是 如果 真的 没有 梦想 断绝 与 世间 的 一切 联系 那样 或许 真的 很 轻松 吧 ...
279204336576,蕾 姆
277362979201,一个 残酷 的 事实 到 了 能 理解 章鱼 哥 的 时候 没 多少 人能 刷 B 站 了 反过来说 能 经常 刷 B 站 的 大概 更 希望 像 派 大星 一样 肆意 吧
278945615985,精辟
278586414160,哦 外面 就 仅仅 只是 外面 是 吗 你 想 的 真 美好
276983941873,20 年 的 时候 我 还 不 懂 这个 鬼畜 哪里 好 了 现在 工作 五年 了 自己 成 了 章鱼 哥
276981443585,唉 好久 以后 再 来看 感触 不 一样 了
278373511600,唉 章鱼 哥 ....
276166304673,考古
275657325585,天帝
277041567232,唉 每次 心情 不好 都 会 来 刷 一次 希望 自己 能 早日 走 出去
276441124368,但是 海绵 宝宝 并 不 成功 他 也 只不过 是 一个 默默无闻 的 厨师 他 和 章鱼 哥 唯一 不同 的 地方 就是 心态
276093031312,唉 26 了 感觉 还是 15 的 样子 没 梦想 或者 是 理想
275983435344,加油 啊 在座 的 章鱼 哥
275983216272,笑话 章鱼 哥 讨厌 章鱼 哥 鄙视 章鱼 哥 发现 我 其实 就是 章鱼 哥
274291831521,我 现在 就是 章鱼 哥 我 真的 想 死 从 几年 前 已经 开始 慢慢 戒断 剥离 身边 的 一切 死亡 有时候 是 奖励 不可 轻易 奖赏 自己 那 是 唯一 的 退路 底牌 要 最后 再 打
273864756913,在 下森 正学
